CO_TAZID,CO_IDX,TOTHH,HHPOP,HHSize,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,SUBAREAID,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
51035,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51036,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51037,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51038,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51039,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51040,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51041,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51042,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51043,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51044,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51045,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51046,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,115263,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51047,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51048,48,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,12,Victory Ranch,137,Balance of WASATCH,Balance of WASATCH
51049,49,97,225,2.32,584,0,0,584,595,0,0,0,0,0,0,0,584,0,0,0,11,136,0,0,134,2,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,13,Woodland,137,Balance of WASATCH,Balance of WASATCH
51050,50,7,17,2.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,10,10,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,13,Woodland,137,Balance of WASATCH,Balance of WASATCH
51051,51,32,73,2.28,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,4,73,0,0,44,29,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,13,Woodland,137,Balance of WASATCH,Balance of WASATCH
51052,52,8,20,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,12,33,0,0,144606,0,0,0,4,51,WASATCH,3,Resorts,13,Woodland,137,Balance of WASATCH,Balance of WASATCH
51053,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,162870,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51054,54,12,29,2.42,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51055,55,0,0,0,145,18,0,127,145,0,18,0,0,0,127,0,0,0,0,0,0,13,0,0,0,13,0,0,162870,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51056,56,106,300,2.83,19,0,2,17,31,0,0,0,2,3,0,0,14,0,0,0,12,43,0,0,43,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51057,57,12,32,2.67,35,0,0,35,36,0,0,0,0,0,0,0,35,0,0,0,1,5,0,0,5,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51058,58,165,467,2.83,89,0,12,77,197,0,0,3,9,51,0,1,25,0,78,12,18,67,0,0,67,0,0,0,173379,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51059,59,53,149,2.81,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,13,6,21,0,0,21,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51060,60,89,252,2.83,7,0,0,7,17,0,0,0,0,7,0,0,0,0,0,0,10,36,0,0,36,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51061,61,192,544,2.83,28,4,0,24,49,4,0,0,0,17,0,0,7,0,0,0,21,78,0,0,78,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51062,62,84,237,2.82,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,34,0,0,34,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51063,63,227,642,2.83,280,199,3,78,317,12,187,3,0,10,0,1,67,0,0,12,25,92,147,0,92,0,147,317,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51064,64,9,24,2.67,93,33,3,57,111,33,0,1,2,0,0,0,57,17,0,0,1,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51065,65,75,200,2.67,50,3,44,3,59,3,0,26,18,3,0,0,0,0,0,1,8,0,0,0,0,0,0,0,137667,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51066,66,169,479,2.83,365,173,0,192,397,15,158,0,0,7,0,104,81,0,0,13,19,69,6,0,69,0,6,125,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51067,67,124,333,2.69,52,9,5,38,141,9,0,4,1,3,0,0,35,0,0,75,14,0,0,0,0,0,0,0,137667,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51068,68,137,386,2.82,20,1,2,17,39,0,1,0,2,10,0,0,7,0,0,4,15,56,0,0,56,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51069,69,23,58,2.52,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51070,70,74,208,2.81,4,0,0,4,12,0,0,0,0,0,0,0,4,0,0,0,8,30,0,0,30,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51071,71,217,580,2.67,152,93,28,31,193,1,92,28,0,17,0,3,11,0,0,17,24,0,0,0,0,0,0,0,137667,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51072,72,23,62,2.7,93,80,4,9,96,80,0,0,4,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,159554,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51073,73,50,143,2.86,17,13,0,4,23,7,6,0,0,3,0,1,0,0,0,0,6,21,0,0,21,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51074,74,14,34,2.43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51075,75,5,13,2.6,69,0,0,69,89,0,0,0,0,31,0,38,0,0,0,19,1,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51076,76,5,13,2.6,4,0,0,4,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51077,77,106,285,2.69,607,62,9,536,652,12,50,9,0,78,117,33,308,0,0,33,12,0,0,0,0,0,0,0,137667,596,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51078,78,177,448,2.53,37,0,0,37,69,0,0,0,0,3,2,0,32,0,0,12,20,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51079,79,43,122,2.84,11,4,0,7,16,4,0,0,0,7,0,0,0,0,0,0,5,18,0,0,18,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51080,80,57,161,2.82,273,69,8,196,285,0,69,0,8,61,0,0,135,0,0,6,6,23,0,0,23,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51081,81,87,223,2.56,150,1,5,144,160,1,0,1,4,20,0,4,120,0,0,0,10,20,0,0,20,0,0,0,137188,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51082,82,59,166,2.81,14,0,0,14,45,0,0,0,0,0,0,3,11,0,0,24,7,24,0,0,24,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51083,83,20,51,2.55,77,0,0,77,79,0,0,0,0,0,6,0,71,0,0,0,2,4,0,0,4,0,0,0,137188,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51084,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137188,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51085,85,85,240,2.82,112,26,0,86,123,26,0,0,0,58,0,0,28,0,0,1,10,35,0,0,35,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51086,86,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,162870,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51087,87,13,35,2.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51088,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137188,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51089,89,18,50,2.78,3,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,2,7,0,0,7,0,0,0,173482,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51090,90,0,0,0,105,17,0,88,105,0,17,0,0,0,53,0,35,0,0,0,0,0,0,0,0,0,0,0,168176,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,137,Balance of WASATCH,Balance of WASATCH
51091,91,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137188,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51092,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162870,0,0,0,4,51,WASATCH,4,Heber Valley,14,Midway,162,Midway,Midway
51093,93,5,13,2.6,7,0,0,7,8,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51094,94,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51095,95,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116342,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51096,96,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51097,97,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51098,98,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116342,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51099,99,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51100,100,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51101,101,4,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51102,102,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51103,103,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51104,104,3,8,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69444,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51106,106,386,1457,3.77,241,29,22,190,366,29,0,13,9,58,0,15,117,0,0,82,43,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51107,107,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51109,109,125,472,3.78,35,0,0,35,66,0,0,0,0,7,0,0,28,0,0,17,14,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51110,110,80,302,3.78,14,0,0,14,40,0,0,0,0,0,0,14,0,0,0,17,9,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51111,111,18,67,3.72,59,59,0,0,62,58,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51112,112,3,12,4,229,10,15,204,248,10,0,15,0,41,30,48,85,0,0,19,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51113,113,1,4,4,7,0,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,137,Balance of WASATCH,Balance of WASATCH
51114,114,81,306,3.78,181,7,28,146,190,7,0,8,20,0,15,0,131,0,0,0,9,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51115,115,75,282,3.76,43,29,0,14,51,29,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51116,116,8,32,4,886,64,68,754,897,32,32,12,56,143,329,66,216,0,0,10,1,0,0,0,0,0,0,0,118500,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51117,117,126,338,2.68,16,12,0,4,33,4,8,0,0,0,0,0,4,0,0,3,14,0,0,0,0,0,0,10,114000,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51118,118,91,245,2.69,52,0,0,52,62,0,0,0,0,34,0,0,18,0,0,0,10,0,0,0,0,0,0,0,114000,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51119,119,3,8,2.67,63,46,0,17,63,7,39,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,114000,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,164,Heber,Heber
51120,120,6,16,2.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,137188,0,0,0,4,51,WASATCH,4,Heber Valley,15,Heber West,166,Charleston,Charleston
