;Index,CO_FIPS,YEAR,Tel_RETL,Tel_FOOD,Tel_MANU,Tel_WSLE,Tel_OFFI,Tel_GVED,Tel_HLTH,Tel_OTHR,Tel_AGRI,Tel_MING,Tel_CONS,HBJ_RETL,HBJ_FOOD,HBJ_MANU,HBJ_WSLE,HBJ_OFFI,HBJ_GVED,HBJ_HLTH,HBJ_OTHR,HBJ_AGRI,HBJ_MING,HBJ_CONS,HBJ,Telecom,Tot_WAH,CO_NAME
412023,41,2023,0.069,0.003,0.128,0.136,0.128,0.058,0.066,0.051,0.028,0.028,0.059,0.035,0.002,0.065,0.069,0.064,0.029,0.033,0.026,0.014,0.014,0.030,0.032,0.063,0.095,"Sevier County, Utah"
432023,43,2023,0.107,0.099,0.218,0.356,0.281,0.133,0.132,0.127,0.125,0.125,0.127,0.037,0.034,0.075,0.123,0.097,0.046,0.046,0.044,0.043,0.043,0.044,0.062,0.180,0.242,"Summit County, Utah"
452023,45,2023,0.065,0.050,0.037,0.064,0.258,0.139,0.163,0.073,0.060,0.060,0.044,0.014,0.011,0.008,0.013,0.054,0.029,0.034,0.015,0.013,0.013,0.009,0.024,0.113,0.137,"Tooele County, Utah"
472023,47,2023,0.019,0.007,0.054,0.083,0.174,0.012,0.015,0.023,0.016,0.016,0.017,0.016,0.006,0.044,0.068,0.144,0.010,0.012,0.019,0.013,0.013,0.014,0.029,0.035,0.065,"Uintah County, Utah"
492023,49,2023,0.101,0.054,0.104,0.146,0.275,0.094,0.092,0.184,0.151,0.151,0.071,0.021,0.011,0.022,0.030,0.057,0.020,0.019,0.038,0.031,0.031,0.015,0.030,0.142,0.172,"Utah County, Utah"
512023,51,2023,0.065,0.045,0.263,0.173,0.235,0.101,0.107,0.242,0.276,0.276,0.036,0.025,0.017,0.100,0.065,0.089,0.038,0.041,0.092,0.105,0.105,0.014,0.050,0.132,0.181,"Wasatch County, Utah"
532023,53,2023,0.049,0.041,0.082,0.101,0.213,0.058,0.052,0.112,0.114,0.114,0.044,0.021,0.018,0.035,0.043,0.092,0.025,0.023,0.048,0.049,0.049,0.019,0.039,0.091,0.131,"Washington County, Utah"
552023,55,2023,0.091,0.046,0.706,0.136,0.241,0.283,0.326,0.250,0.218,0.218,0.229,0.021,0.019,0.294,0.032,0.100,0.118,0.136,0.104,0.091,0.091,0.095,0.079,0.191,0.271,"Wayne County, Utah"
572023,57,2023,0.102,0.044,0.069,0.094,0.238,0.099,0.074,0.118,0.115,0.115,0.109,0.023,0.010,0.016,0.022,0.054,0.023,0.017,0.027,0.026,0.026,0.025,0.027,0.116,0.142,"Weber County, Utah"
10492023,1049,2023,0.091,0.052,0.086,0.136,0.262,0.102,0.097,0.143,0.094,0.094,0.079,0.021,0.012,0.020,0.032,0.061,0.024,0.022,0.033,0.022,0.022,0.018,0.030,0.130,0.160,Utah
