;CO_TAZID,CO_IDX,TOTHH,HHPOP,HHSize,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,SUBAREAID,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
43011,11,81,209,2.58,27,10,0,17,41,0,10,0,0,8,0,1,8,0,0,1,13,22,0,0,22,0,0,0,165445,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43012,12,17,44,2.59,3,0,0,3,6,0,0,0,0,3,0,0,0,0,0,0,3,13,0,0,13,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43013,13,38,100,2.63,1,0,1,0,12,0,0,1,0,0,0,0,0,0,0,5,6,27,0,0,27,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43014,14,31,80,2.58,83,0,0,83,88,0,0,0,0,0,0,5,78,0,0,0,5,23,0,0,23,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43015,15,30,78,2.6,14,0,6,8,22,0,0,0,6,8,0,0,0,0,0,3,5,22,0,0,22,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43016,16,53,139,2.62,12,0,3,9,61,0,0,0,3,5,0,1,3,0,0,40,9,39,0,0,39,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43017,17,104,269,2.59,427,0,1,426,444,0,0,1,0,0,0,0,426,0,0,0,17,28,0,0,28,0,0,0,158056,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43018,18,16,42,2.63,13,0,0,13,20,0,0,0,0,0,13,0,0,0,0,4,3,11,0,0,11,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43019,19,43,111,2.58,25,0,1,24,32,0,0,0,1,11,0,0,13,0,0,0,7,32,0,0,32,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43020,20,63,163,2.59,93,0,0,93,124,0,0,0,0,13,0,0,80,0,0,21,10,46,0,0,46,0,0,0,167778,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43021,21,17,44,2.59,303,54,34,215,492,10,44,25,9,3,6,40,166,0,0,186,3,14,0,0,14,0,0,0,167778,32,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43022,22,0,0,0,66,13,0,53,66,13,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158056,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43023,23,68,176,2.59,28,0,0,28,67,0,0,0,0,8,0,20,0,0,0,28,11,19,0,0,19,0,0,0,158056,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43024,24,93,239,2.57,93,50,3,40,111,0,50,0,3,13,0,3,24,0,0,3,15,25,0,0,25,0,0,0,158056,0,0,0,43,4,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43025,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43026,26,79,185,2.34,27,20,0,7,40,0,20,0,0,3,4,0,0,0,0,0,13,45,0,0,45,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43027,27,0,0,0,570,564,6,0,570,556,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43028,28,0,0,0,18,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43029,29,0,0,0,263,215,18,30,263,178,37,18,0,19,0,0,11,0,0,0,0,0,0,0,0,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43030,30,51,120,2.35,35,0,0,35,47,0,0,0,0,0,0,0,35,0,0,4,8,29,0,0,29,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43031,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43032,32,0,0,0,353,329,0,24,353,276,53,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,81,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43033,33,0,0,0,250,106,0,144,276,0,106,0,0,5,0,0,139,0,0,26,0,0,0,0,0,0,0,105,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43034,34,0,0,0,503,0,0,503,503,0,0,0,0,221,0,51,231,0,0,0,0,0,0,0,0,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43035,35,0,0,0,376,173,4,199,423,39,134,0,4,27,0,57,115,0,0,47,0,0,0,0,0,0,0,0,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43036,36,88,217,2.47,1867,607,311,949,1907,323,284,162,149,261,87,84,517,0,0,25,15,27,97,0,27,0,97,198,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43037,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43038,38,398,878,2.21,355,0,3,352,456,0,0,0,3,250,0,0,102,0,0,35,66,125,272,0,125,0,272,0,107102,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43039,39,373,918,2.46,1347,755,43,549,1417,424,331,12,31,226,2,34,287,0,0,8,62,115,217,0,115,0,217,0,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43040,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193754,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43041,41,9,21,2.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43042,42,0,0,0,619,0,0,619,619,0,0,0,0,0,136,0,483,0,0,0,0,0,0,0,0,0,0,0,99373,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43043,43,122,288,2.36,62,1,8,53,83,1,0,0,8,27,4,1,21,0,0,1,20,69,12,0,69,0,12,0,104454,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43044,44,57,135,2.37,447,158,0,289,501,78,80,0,0,53,0,43,193,0,0,44,10,33,12,0,33,0,12,0,119495,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43045,45,343,822,2.4,493,13,15,465,593,13,0,1,14,114,142,5,204,0,0,43,57,52,0,0,52,0,0,0,146412,400,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43046,46,96,235,2.45,63,4,0,59,79,4,0,0,0,8,0,0,51,0,0,0,16,30,0,0,30,0,0,0,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43047,47,16,39,2.44,10,0,0,10,13,0,0,0,0,5,0,0,5,0,0,0,3,5,0,0,5,0,0,0,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43048,48,70,168,2.4,21,0,2,19,33,0,0,1,1,11,0,0,8,0,0,0,12,11,0,0,11,0,0,0,141875,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43049,49,56,139,2.48,16,5,0,11,25,5,0,0,0,3,0,0,8,0,0,0,9,18,0,0,18,0,0,0,191181,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43050,50,7,18,2.57,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,2,0,0,0,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43051,51,21,52,2.48,11,0,0,11,16,0,0,0,0,11,0,0,0,0,0,1,4,6,0,0,6,0,0,0,194125,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43052,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107346,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43053,53,64,150,2.34,189,167,0,22,200,0,167,0,0,3,0,0,19,0,0,0,11,36,153,0,36,0,153,564,96932,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43054,54,9,30,3.33,19,0,0,19,20,0,0,0,0,0,0,0,19,0,0,0,1,5,0,0,5,0,0,0,186750,0,0,98,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43055,55,14,49,3.5,15,10,0,5,17,10,0,0,0,5,0,0,0,0,0,0,2,6,0,0,6,0,0,0,186750,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43056,56,39,139,3.56,5,0,0,5,12,0,0,0,0,0,0,0,5,0,0,0,7,20,0,0,20,0,0,0,186750,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43057,57,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,186750,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43058,58,16,56,3.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,0,0,186750,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43059,59,21,50,2.38,1153,705,0,448,1186,5,700,0,0,0,0,0,448,0,0,29,4,76,91,0,76,0,91,1180,300000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43060,60,12,28,2.33,8,0,0,8,10,0,0,0,0,0,0,0,8,0,0,0,2,40,61,0,40,0,61,0,300000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43061,61,7,18,2.57,4,0,1,3,5,0,0,0,1,0,0,0,3,0,0,0,1,30,33,0,30,0,33,0,300000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43062,62,7,18,2.57,48,0,0,48,49,0,0,0,0,5,0,0,43,0,0,0,1,28,149,0,28,0,149,0,300000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43063,63,31,73,2.35,30,14,0,16,35,14,0,0,0,0,0,0,16,0,0,0,5,108,0,0,108,0,0,0,300000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43064,64,71,252,3.55,50,0,2,48,72,0,0,1,1,0,0,0,48,0,0,10,12,36,35,0,36,0,35,0,186750,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43065,65,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186750,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43066,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,300000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43067,67,7,15,2.14,32,0,0,32,33,0,0,0,0,0,0,0,32,0,0,0,1,2,0,0,2,0,0,0,89776,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43068,68,44,103,2.34,182,0,0,182,199,0,0,0,0,13,0,0,169,0,0,10,7,162,0,0,162,0,0,0,213754,0,0,0,43,4,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
43069,69,157,312,1.99,65,0,0,65,95,0,0,0,0,59,0,1,5,0,0,4,26,40,0,0,40,0,0,0,90661,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43070,70,85,301,3.54,20,1,0,19,34,1,0,0,0,5,6,0,8,0,0,0,14,43,0,0,43,0,0,0,186750,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43071,71,163,418,2.56,34,6,3,25,62,6,0,0,3,11,2,1,11,0,0,1,27,67,0,0,67,0,0,0,219315,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43072,72,35,90,2.57,3,0,0,3,9,0,0,0,0,3,0,0,0,0,0,0,6,14,0,0,14,0,0,0,232212,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43073,73,141,363,2.57,13,0,0,13,42,0,0,0,0,0,0,0,13,0,0,6,23,59,0,0,59,0,0,0,232212,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43074,74,196,502,2.56,610,0,3,607,643,0,0,0,3,5,39,0,563,0,0,1,32,82,0,0,82,0,0,0,229157,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43075,75,155,247,1.59,398,0,4,394,424,0,0,0,4,21,0,0,373,0,0,0,26,13,0,0,13,0,0,0,134324,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43076,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43077,77,199,395,1.98,25,4,0,21,62,4,0,0,0,5,0,0,16,0,0,4,33,51,0,0,51,0,0,0,89776,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43078,78,9,14,1.56,551,384,33,134,568,181,203,0,33,29,0,11,94,0,0,16,1,1,0,0,1,0,0,125,55000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43079,79,49,78,1.59,164,41,0,123,172,0,41,0,0,43,0,24,56,0,0,0,8,4,0,0,4,0,0,0,55000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43080,80,23,37,1.61,13,0,0,13,17,0,0,0,0,0,0,0,13,0,0,0,4,2,0,0,2,0,0,0,55000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43081,81,27,42,1.56,20,0,0,20,30,0,0,0,0,3,0,17,0,0,0,6,4,2,0,0,2,0,0,0,55000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43082,82,19,30,1.58,11,0,0,11,14,0,0,0,0,8,0,0,3,0,0,0,3,2,0,0,2,0,0,0,55000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43083,83,0,0,0,447,0,0,447,447,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,383,741,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43084,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43085,85,89,142,1.6,563,74,0,489,594,28,46,0,0,8,206,7,268,0,0,16,15,7,0,0,7,0,0,0,55000,0,0,1175,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43086,86,135,246,1.82,241,59,18,164,263,6,53,0,18,0,76,0,88,0,0,0,22,235,121,0,235,0,121,0,101066,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43087,87,150,298,1.99,316,180,0,136,341,3,177,0,0,48,0,0,88,0,0,0,25,38,200,0,38,0,200,0,89776,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43088,88,41,139,3.39,641,183,16,442,652,116,67,5,11,24,0,0,418,0,0,4,7,21,31,0,21,0,31,154,187862,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43089,89,86,289,3.36,686,221,38,427,741,35,186,35,3,3,0,124,300,0,0,41,14,43,14,0,43,0,14,0,187862,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43090,90,90,303,3.37,1410,216,27,1167,1464,69,147,0,27,411,11,29,716,0,0,39,15,44,325,0,44,0,325,21,187862,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43091,91,45,150,3.33,1226,145,5,1076,1296,25,120,5,0,405,50,136,485,0,0,63,7,22,0,0,22,0,0,209,187862,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43092,92,208,698,3.36,190,0,10,180,265,0,0,0,10,3,0,0,177,0,0,40,35,103,216,0,103,0,216,0,187862,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43093,93,146,488,3.34,147,0,5,142,214,0,0,0,5,27,0,0,115,0,0,43,24,72,0,0,72,0,0,0,187862,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43094,94,0,0,0,255,108,0,147,260,83,25,0,0,0,0,0,147,0,0,5,0,0,34,0,0,0,34,0,110156,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43095,95,0,0,0,377,6,121,250,385,6,0,0,121,21,0,65,164,0,0,8,0,0,0,0,0,0,0,0,187862,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43096,96,31,89,2.87,188,0,0,188,193,0,0,0,0,11,0,0,177,0,0,0,5,24,98,0,24,0,98,0,131127,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43097,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,131964,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43098,98,3,6,2,309,165,2,142,316,35,130,2,0,3,0,5,134,0,0,6,1,5,416,0,5,0,416,54,131964,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43099,99,141,257,1.82,1480,80,3,1397,1551,3,77,0,3,43,0,3,1351,0,0,48,23,246,55,0,246,0,55,16,131964,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43100,100,66,120,1.82,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,115,20,0,115,0,20,16,117132,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43101,101,74,214,2.89,74,13,0,61,86,13,0,0,0,13,0,0,48,0,0,0,12,57,105,0,57,0,105,0,129962,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43102,102,88,254,2.89,604,487,12,105,619,87,400,12,0,3,0,0,102,0,0,0,15,68,76,0,68,0,76,0,130536,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43103,103,51,147,2.88,24,0,0,24,32,0,0,0,0,8,0,0,16,0,0,0,8,40,0,0,40,0,0,0,130536,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43104,104,76,217,2.86,60,23,0,37,73,1,22,0,0,5,0,0,32,0,0,0,13,58,0,0,58,0,0,0,123226,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43105,105,172,447,2.6,26,0,0,26,55,0,0,0,0,5,0,0,21,0,0,0,29,315,210,0,315,0,210,0,61909,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43106,106,10,17,1.7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,15,0,0,0,131964,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43107,107,18,29,1.61,5,0,2,3,17,0,0,2,0,3,0,0,0,0,0,9,3,160,0,0,160,0,0,0,127666,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43108,108,70,128,1.83,263,131,24,108,275,5,126,0,24,69,0,1,38,0,0,0,12,124,0,0,124,0,0,12,131964,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43109,109,10,15,1.5,2598,1537,23,1038,2628,377,1160,5,18,264,356,0,418,0,0,28,2,78,0,0,78,0,0,0,67500,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43110,110,10,15,1.5,12,1,0,11,14,1,0,0,0,8,0,0,3,0,0,0,2,88,59,0,88,0,59,0,67500,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43111,111,107,309,2.89,11,0,0,11,30,0,0,0,0,0,0,0,11,0,0,1,18,82,0,0,82,0,0,0,130536,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43112,112,26,41,1.58,2642,314,3,2325,2646,3,311,0,3,11,0,0,2314,0,0,0,4,214,405,0,214,0,405,177,67500,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43113,113,21,34,1.62,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,181,200,0,181,0,200,0,67500,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43114,114,27,43,1.59,8,0,0,8,12,0,0,0,0,5,0,0,3,0,0,0,4,226,50,0,226,0,50,0,67500,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43115,115,6,12,2,387,371,0,16,388,0,371,0,0,16,0,0,0,0,0,0,1,11,96,0,11,0,96,142,131964,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43116,116,13,21,1.62,11,0,0,11,13,0,0,0,0,8,0,0,3,0,0,0,2,103,283,0,103,0,283,0,67500,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
43117,117,31,50,1.61,705,652,0,53,710,23,629,0,0,13,0,0,40,0,0,0,5,261,617,0,261,0,617,132,67500,0,0,0,43,4,SUMMIT,1,Snyderville Basin,4,Park City,136,Park City,Park City
