stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5774,821022,State St / Ironton Blvd (SB),State St & 2390 S,40.201583,-111.621632,,,,,,0
5892,135263,4000 W / 4100 S (NB),4071 S 4000 W & 4100 S,40.682831,-111.986537,,,,,,1
5900,135271,3500 S / 4000 W (EB),3955 W 3500 S & 4000 W,40.696503,-111.985301,,,,,,1
6145,174034,Highland Dr / Creek Rd (NB),8089 S Highland Dr & Creek Rd,40.603643,-111.832918,,,,,,0
6152,174042,Highland Dr / Creek Rd (SB),8052 S Highland Dr & Creek Rd,40.605037,-111.833112,,,,,,1
6384,125244,Navajo St / Glendale Dr (SB),1186 S Navajo St & Glendale Dr,40.743395,-111.930218,,,,,,1
6410,125270,Navajo St / Glendale Dr (NB),1185 W Navajo St & Glendale Dr,40.743523,-111.929944,,,,,,1
6419,125279,Navajo St / Indiana Ave (NB),861 S Navajo St & W Indiana Ave,40.751041,-111.929417,,,,,,1
6444,125304,800 W / 800 S (SB),798 S 800 W & 800 S,40.752275,-111.914105,,,,,,0
6445,125305,800 W / 800 S (NB),791 S 800 W & 800 S,40.752301,-111.913821,,,,,,1
6587,134074,4100 S / 4800 W (WB),4820 W 4100 S & 4800 W,40.682113,-112.006356,,,,,,1
6676,135149,4000 W / 4100 S (SB),4122 S 4000 W & 4100 S,40.681614,-111.986705,,,,,,1
6781,137201,Highland Dr / 3300 S (SB),3330 S Highland Dr & Highland Dr,40.699169,-111.850597,,,,,,0
6788,137208,Highland Dr / 3900 S (SB),3910 S Highland Dr & Highland Dr,40.686654,-111.845058,,,,,,0
6833,137247,1300 E / 3900 S (NB),3849 S 1300 E,40.687554,-111.85401,,,,,,1
6842,137256,Richmond St / Zenith Ave (NB),2889 S Richmond St,40.708031,-111.855258,,,,,,1
6984,137316,3900 S / State St (EB),110 E 3900 S & State St,40.686974,-111.887511,,,,,,1
6986,137318,3900 S / 300 E (EB),298 E 3900 S & 300 E,40.686992,-111.883004,,,,,,0
6990,137322,3900 S / 700 E (EB),718 E 3900 S & 700 E,40.686955,-111.870613,,,,,,0
7006,137338,3900 S / 1300 E (WB),1271 E 3900 S & 1300 E,40.6872,-111.854916,,,,,,1
7010,137342,3900 S / 900 E (WB),887 E 3900 S & 900 E,40.687097,-111.866122,,,,,,1
7013,137345,3900 S / 700 E (WB),3900 S & 677 E,40.687191,-111.872078,,,,,,1
7019,137351,3900 S / State St (WB),85 E 3900 S & State St,40.687112,-111.889025,,,,,,1
7020,137352,4500 S / State St (EB),110 E 4500 S & State St,40.674219,-111.887738,,,,,,0
7119,137453,State St / 4600 S (SB),4608 S State St & 4600 S,40.671416,-111.888497,,,,,,0
7150,188001,12600 S / Redwood Rd (WB),1720 W 12600 S,40.522421,-111.939375,,,,,,0
7211,188022,Redwood Rd / 12600 S (NB),12587 S Redwood Rd & 12600 S,40.522804,-111.938638,,,,,,0
7766,127101,Foothill Dr / 2100 S (NB),2130 Foothill Dr.,40.725214,-111.814249,,,,,,1
7773,127108,Foothill Dr / 1300 S (NB),1309 Foothill Dr,40.741281,-111.826783,,,,,,1
7891,112094,Orchard Dr / 150 W (WB),2572 S Orchard Dr & 150 W,40.861874,-111.883697,,,,,,0
7904,111074,US-89 / Bountiful 3800 S (SB),355 N Us Hwy 89 & 350 N,40.848543,-111.906771,,,,,,1
7907,111077,US-89 / North Salt Lake Center St (,16 S Us Hwy 89 & Center St,40.841421,-111.910559,,,,,,1
7945,112037,Orchard Dr / 300 W (SB),2698 S Orchard Dr,40.859943,-111.887698,,,,,,1
8121,126043,1300 E / 900 S (NB),875 S 1300 E & 900 S,40.750374,-111.853784,,,,,,0
8125,126047,1300 E / 400 S (NB),1300 E & 401 S,40.760469,-111.853719,,,,,,1
8132,126558,Stadium Station (SB),368 S University St & 400 S,40.760958,-111.852451,,,,,,0
8133,126559,1300 E / 500 S (SB),480 S 1300 E & 500 S,40.758913,-111.854078,,,,,,1
8137,126563,1300 E / 900 S (SB),896 S 1300 E & 900 S,40.75004,-111.854,,,,,,1
8151,126577,1300 E / 2100 S (SB),2078 S 1300 E & E 2100 S,40.725769,-111.853969,,,,,,1
8194,117124,1000 N / 900 W (EB),901 W 1000 N & 900 W,40.790968,-111.917202,,,,,,1
8249,117179,Redwood Road / 1100 N (NB),1098 N Redwood Road & 1100 N,40.793361,-111.939039,,,,,,0
8287,629141,4700 S / 275 W (WB),276 W 4700 S & 300 W,41.177799,-111.982491,,,,,,0
8302,629149,Harrison Blvd / Country Hills Dr (S,4255 S Harrison Blvd & 42Nd St,41.185841,-111.949189,,,,,,1
8342,629162,Harrison Blvd / 4275 S (NB),4286 S Harrison Blvd & 4275 S,41.185141,-111.948913,,,,,,1
8352,623238,36th Street Station,3613 S Harrison Blvd & 36th Street,41.197096,-111.948786,,,,,,1
8389,628122,1900 W / 4410 S (NB),4410 S 1900 W & 4400 S,41.182701,-112.025793,,,,,,1
8453,627049,3500 W / 5700 S (NB),5702 S 3500 W & 5700 S,41.158903,-112.064393,,,,,,0
8474,629113,300 W / 4700 S (NB),4720 S 300 W & 4800 S,41.177454,-111.982871,,,,,,1
8475,629114,4700 S / 200 W (EB),205 W 4700 S & 200 W,41.177681,-111.980769,,,,,,0
8546,623188,Washington Blvd / 28th St (NB),2790 S Washington Blvd & 2800 S,41.214696,-111.970483,,,,,,1
8556,629030,Washington Blvd / 40th St (SB),4035 S Washington Blvd & 4000 S,41.190016,-111.971319,,,,,,0
8558,629032,300 E / 4425 S (SB),4421 S Army St & 4425 S,41.183007,-111.973596,,,,,,0
8561,629035,300 E / 4700 S (SB),4693 S Army St & 4700 S,41.177675,-111.973718,,,,,,0
8562,629036,4700 S / 200 E (WB),230 E 4700 S & 200 E,41.177691,-111.975528,,,,,,0
8575,629049,5300 S / Sunset Dr (EB),655 E 5300 S & 600 E,41.168091,-111.964718,,,,,,0
8604,629075,300 E / 4600 S (NB),4611 S Army St & 4600 S,41.179242,-111.973598,,,,,,0
8608,629079,Washington Blvd / 40th St (NB),3986 S Washington Blvd & 40Th St,41.191001,-111.971022,,,,,,1
8613,623202,Wall Ave / 17th St (SB),1725 S Wall Ave & 17Th St,41.236056,-111.978676,,,,,,1
8614,623203,Wall Ave / 17th St (NB),1710 S Wall Ave & 17Th St,41.236276,-111.978412,,,,,,0
8624,632019,2000 W / 300 N (NB),326 N 2000 W & W 350 N,41.118571,-112.064427,,,,,,1
8634,632029,2000 W / 300 N (SB) (West Point),261 N 2000 W & 300 N,41.117365,-112.064585,,,,,,1
8652,623066,12th St / Washington Blvd (WB),320 E 12Th St & Washington Blvd,41.244427,-111.970876,,,,,,1
8661,615024,1200 W / 1200 S St (NB),1064 S 1200 W & 1200 S,41.24618,-112.00943,,,,,,1
8674,615037,1200 W / 1200 S St (SB),1063 S 1200 W & 1200 W,41.246202,-112.009613,,,,,,0
8676,622009,12Th St / 1008 W (EB) (Ogden),1007 W 12Th St & 1200 W,41.244472,-112.004151,,,,,,1
8681,623073,12th St / Grant Ave (EB),275 S 12th St & Grant Ave,41.24421,-111.973213,,,,,,0
8716,623099,Polk Ave / 30th St (NB) (Ogden),2990 S Polk Ave & 30Th S,41.210109,-111.942916,,,,,,1
8756,623128,Harrison Blvd / 16th St (NB),1590 S Harrison Blvd & 16Th St,41.238978,-111.945491,,,,,,0
8765,623137,Harrison Blvd/ 25th St (NB),2480 S Harrison Blvd & 25th Street,41.220732,-111.948081,,,,,,0
8814,101020,Marshall Way / Hillfield Rd (NB),592 N Marshall Way & Hillfield Rd,41.068756,-111.991722,,,,,,0
8834,102015,Fairfield Rd / Crestwood Rd (SB),401 N 100 E & Crestwood Rd,41.040985,-111.936091,,,,,,1
8850,102031,Main St / Kaysville Center St (NB),10 N Main St & Center St,41.035174,-111.938494,,,,,,1
8860,101042,Fairfield Rd / 900 N (NB),920 N Fairfield Rd & Gordon Ave,41.073159,-111.950119,,,,,,0
8862,633077,Antelope Dr / Chelemes Way (WB) (Cl,345 E Antelope Dr & 400 E,41.089237,-112.018783,,,,,,0
8877,633018,State St / 200 S (SB),214 S State St & 200 S,41.110583,-112.023237,,,,,,1
8908,101007,Layton Hills Mall,425 W Ring Rd & Ring Rd,41.078921,-111.974571,,,,,,1
8913,101012,Hill Field Rd / 1750 N (NB),1748 N Hill Field Rd & Paul Ave,41.084944,-111.973341,,,,,,0
8936,633059,State St / 200 S (NB) (Clearfield),151 S State St & 150 S,41.111453,-112.023765,,,,,,1
8945,632008,1000 W / 800 N (NB),762 N 1000 W & 800 N,41.124815,-112.045181,,,,,,1
8956,611007,400 E / Elberta Dr (NB),2828 N 400 E & Elberta,41.31166,-111.968534,,,,,,0
8959,611010,450 E / 3100 N (NB),3098 N 450 E & 3100 N,41.317201,-111.966601,,,,,,0
8965,611016,3100 N / 1050 E (EB),1045 E 3100 N & 1050 E,41.317169,-111.947631,,,,,,0
9004,616060,Washington Blvd / Lockwood Dr (SB),1417 N Washington Blvd,41.283457,-111.969349,,,,,,1
9011,616069,Washington Blvd / 2nd St (SB),223 S Washington Blvd & 2Nd St,41.258671,-111.969857,,,,,,1
9051,616081,Monroe Blvd / 950 N (SB),951 N Monroe Blvd & 950 N,41.274924,-111.959164,,,,,,0
9055,616085,Monroe Blvd / North St (EB),Monroe Blvd & 377 N,41.266054,-111.959402,,,,,,0
9061,616091,Monroe Blvd / 6th St (SB),625 S Monroe Blvd & 700 S,41.252934,-111.954621,,,,,,0
9093,616119,Harrison Blvd / 7th St (NB),708 S Harrison Blvd & 7Th St,41.251238,-111.947887,,,,,,1
9095,616121,Harrison Blvd / 3rd St (NB),250 S Harrison Blvd & 2Nd St,41.258087,-111.947814,,,,,,0
9155,623064,Wall Ave / 36th St (SB) (Ogden),3615 S Wall Ave & 36Th St,41.197381,-111.979542,,,,,,1
9175,628015,5700 S / 2000 W (WB),1998 W 5700 S & 2950 W,41.159687,-112.028251,,,,,,0
9215,610022,2700 N / Wasatch View Dr (EB),1670 W 2700 N & 2700 N,41.306693,-112.019392,,,,,,1
9247,623001,Washington Blvd Station,2458 S Washington Blvd & 25th Street,41.2214,-111.970286,,,,,,1
9248,623002,Washington Blvd / 25th St (NB),2466 S Washington Blvd & 25th St,41.221065,-111.9703,,,,,,1
9249,623003,Washington Blvd / 23rd St (NB),2280 S Washington Blvd & 2300 S,41.225194,-111.970231,,,,,,1
9251,623005,Washington Blvd / 21st St (NB),2070 S Washington Blvd & 2100 S,41.229395,-111.970103,,,,,,1
9252,623006,Washington Blvd / 20th St (NB),1970 S Washington Blvd & 2000 E,41.231608,-111.970065,,,,,,1
9259,623013,Washington Blvd / 12th St (NB),1146 S Washington Blvd & 12Th St,41.244797,-111.969785,,,,,,1
9297,623021,Washington Blvd / 20th St (SB),2004 S Washington Blvd & 20Th St,41.230785,-111.970432,,,,,,1
9299,623023,Washington Blvd / 22nd St (SB),2209 S Washington Blvd & 22St St,41.226238,-111.970521,,,,,,1
9300,623024,Washington Blvd / 23rd St (SB),2335 S Washington Blvd & 23Rd St,41.224347,-111.970566,,,,,,1
9302,616031,Washington Blvd / 2nd St (NB),120 S Washington Blvd & 200 S,41.259761,-111.969473,,,,,,1
9305,616034,Ogden-Weber Technical College,502 E Avc Ln & Washington Blvd,41.26354,-111.965284,,,,,,1
9314,616043,Washington Blvd / 1100 N (NB),1110 N Washington Blvd & 1100 N,41.277606,-111.969147,,,,,,1
9316,616045,Washington Blvd / Lockwood Dr (NB),1410 N Washington Blvd & 1400 N,41.283394,-111.969046,,,,,,0
9326,611004,Washington Blvd / 2600 N (NB),2626 N 400 E & 2600 N,41.306538,-111.968553,,,,,,1
9410,622021,Industrial Dr / 2640 S (NB) (Ogden),2640 S Industrial Dr & 1125 W,41.217741,-112.011881,,,,,,1
9417,622028,Hinckley Dr / 1325 W (WB),1350 W Hinkley Dr & Hinkley Dr,41.203242,-112.012011,,,,,,0
9601,127015,Arapeen Dr / Sunnyside Ave (NB),789 S Arapeen Dr & Sunnyside Ave,40.751272,-111.826559,,,,,,0
9612,127026,Wakara Way / Komas Dr (EB),601 S Wakara Way & Komas Dr,40.756206,-111.831842,,,,,,1
9617,127031,Arapeen Dr / 800 S (SB),800 S ARAPEEN DR & SUNNYSIDE AVE,40.751099,-111.826784,,,,,,0
9627,820019,State Street / 900 E (SB),678 S State Street & 900 E,40.225279,-111.643346,,,,,,0
9662,816024,Main St / 2000 S (NB),2001 S Main St & 2000 S,40.260575,-111.694768,,,,,,0
9694,816057,State St / 400 S (SB),State St. & 422 S,40.28937,-111.691829,,,,,,1
9705,816012,Main St / 2000 S (SB),2008 S Main St,40.260498,-111.694915,,,,,,1
9743,820017,300 S / State St (EB),780 E 300 S & 700 E,40.229615,-111.645421,,,,,,1
9883,623298,Washington Blvd / 36th St (NB),3560 S Washington Blvd & 3600 S,41.198184,-111.970868,,,,,,1
10095,636267,Washington Blvd Station,2455 S Washington Blvd & 25th St,41.221459,-111.970489,,,,,,1
10337,817240,State St / University Pkwy (SB),1360 S State St & 1400 S,40.272233,-111.684252,,,,,,0
10338,817241,State St / 1500 S (SB),State Street & 1515 South,40.269385,-111.683041,,,,,,1
10339,817242,State St / 1600 S (SB),State Street & 1636 South,40.26726,-111.68211,,,,,,1
10340,806106,State Rd / 1300 W (WB),1344 W State Rd & 1300 W,40.368219,-111.760181,,,,,,1
10341,806011,State St / North County Blvd (WB),1084 E State St & 4650 W,40.370422,-111.769827,,,,,,1
10342,806012,State St / 860 E (WB),935 E State St & 200 W,40.371101,-111.772851,,,,,,0
